Date;Municipio;ndvi_mean;;;;;
23/04/2003;PUERTO RONDON;6561,445975;;;;;
23/04/2003;SARAVENA;5937,645655;;;;;
23/04/2003;TAME;5600,112852;;;;;
9/05/2003;ARAUCA;6025,491579;;;;;
9/05/2003;ARAUQUITA;6740,500531;;;;;
9/05/2003;CRAVO NORTE;5030,990888;;;;;
9/05/2003;FORTUL;3992,59079;;;;;
9/05/2003;PUERTO RONDON;5900,399948;;;;;
9/05/2003;SARAVENA;6391,216082;;;;;
9/05/2003;TAME;5158,127176;;;;;
25/05/2003;ARAUCA;6440,130149;;;;;
25/05/2003;ARAUQUITA;6486,6859;;;;;
25/05/2003;CRAVO NORTE;6106,956372;;;;;
25/05/2003;FORTUL;4070,007051;;;;;
25/05/2003;PUERTO RONDON;5252,954371;;;;;
25/05/2003;SARAVENA;5620,195703;;;;;
25/05/2003;TAME;4824,282897;;;;;
10/06/2003;ARAUCA;5970,890276;;;;;
10/06/2003;ARAUQUITA;7051,488094;;;;;
10/06/2003;CRAVO NORTE;5827,974011;;;;;
10/06/2003;FORTUL;4655,554695;;;;;
10/06/2003;PUERTO RONDON;6325,155895;;;;;
10/06/2003;SARAVENA;7287,489918;;;;;
10/06/2003;TAME;6294,171035;;;;;
26/06/2003;ARAUCA;7113,856251;;;;;
26/06/2003;ARAUQUITA;7811,393542;;;;;
26/06/2003;CRAVO NORTE;6413,041901;;;;;
