formatted_date;temperature_2m; total_precipitation_sum
21/07/1951;295,3804364;0,005664546
22/07/1951;295,3713171;0,005364462
23/07/1951;295,3605954;0,004197498
24/07/1951;295,3127661;0,009169362
25/07/1951;295,3429795;0,005572538
26/07/1951;295,5766871;0,003472338
27/07/1951;295,5797518;0,005975885
28/07/1951;295,0738004;0,020190085
29/07/1951;295,4368045;0,004859689
30/07/1951;295,5650104;0,010076685
31/07/1951;295,1242801;0,014997995
1/08/1951;294,9876993;0,008149162
2/08/1951;295,1959637;0,007028527
3/08/1951;294,8628006;0,007591252
4/08/1951;294,7980933;0,009755246
5/08/1951;295,2873747;0,005783061
6/08/1951;295,3510654;0,007638504
7/08/1951;295,0906757;0,009576987
8/08/1951;295,0083726;0,013494063
9/08/1951;294,6322257;0,009746394
10/08/1951;294,1466529;0,011476178
11/08/1951;294,3644144;0,015922149
12/08/1951;294,130096;0,026563989
13/08/1951;293,7576575;0,020459043
14/08/1951;293,8542475;0,012558192
15/08/1951;293,9589029;0,015881833
16/08/1951;294,2347766;0,016008998
17/08/1951;293,9945874;0,019605797
18/08/1951;294,1623753;0,014803853
19/08/1951;293,8322714;0,032491352
20/08/1951;293,7271962;0,01084239
21/08/1951;294,0818274;0,007752225
22/08/1951;293,8947175;0,016782775
23/08/1951;294,125112;0,013165016
24/08/1951;294,1558405;0,011127567
25/08/1951;294,1891787;0,014513377
26/08/1951;294,0717839;0,009874396
27/08/1951;294,4016699;0,012935784
28/08/1951;294,5068207;0,013095182
29/08/1951;294,7948229;0,012585978
30/08/1951;294,5799224;0,011617905
31/08/1951;294,2665299;0,012918615
1/09/1951;294,1824146;0,013879998
2/09/1951;293,9677144;0,011956578
3/09/1951;293,7966482;0,011408909
4/09/1951;293,7545091;0,019976355
5/09/1951;293,8999753;0,01007555
6/09/1951;294,0687248;0,011332079
7/09/1951;293,5131171;0,021730373
8/09/1951;293,8237608;0,010872737
9/09/1951;294,0114571;0,008192786
10/09/1951;294,2275143;0,008717593
11/09/1951;294,3890244;0,0079294
12/09/1951;293,9023071;0,012785248
13/09/1951;293,7284833;0,01693579
14/09/1951;293,8316229;0,014378746
15/09/1951;293,6598721;0,01835988
16/09/1951;294,3562666;0,012611346
17/09/1951;294,098261;0,009460358
18/09/1951;294,1885368;0,01417289
19/09/1951;293,6080251;0,014854675
20/09/1951;293,8473013;0,019073003
21/09/1951;293,7276391;0,017862501
22/09/1951;294,2056802;0,013574757
23/09/1951;293,9033793;0,022508268
24/09/1951;294,0540796;0,016659159
25/09/1951;294,080703;0,021155793
26/09/1951;293,9412416;0,018321248
27/09/1951;293,8850434;0,016498624
28/09/1951;294,0877204;0,01468513
29/09/1951;293,9888472;0,025033051
30/09/1951;293,9308578;0,017463818
1/10/1951;293,9429955;0,020550595
2/10/1951;293,8789367;0,014501528
3/10/1951;294,0785911;0,010458817
4/10/1951;294,1173792;0,017150721
5/10/1951;293,6339088;0,019849506
6/10/1951;292,8617564;0,028455752
7/10/1951;293,5661977;0,012315266
8/10/1951;294,0567324;0,01658718
9/10/1951;293,8305413;0,01838701
10/10/1951;294,2763348;0,014246373
11/10/1951;293,8384972;0,042867146
12/10/1951;293,5560977;0,016022618
13/10/1951;293,4958395;0,014224204
14/10/1951;293,5059418;0,011932788
15/10/1951;293,9048836;0,013741488
16/10/1951;293,1539581;0,020482826
17/10/1951;293,0476764;0,019834218
18/10/1951;293,0193602;0,017979193
19/10/1951;292,7754523;0,033984576
20/10/1951;293,098904;0,022964393
21/10/1951;293,3752341;0,022757921
22/10/1951;293,2462505;0,033678989
23/10/1951;293,1270841;0,018183427
24/10/1951;292,6897511;0,028127487
25/10/1951;292,6517342;0,020224455
26/10/1951;292,423126;0,04180895
27/10/1951;292,0683205;0,034287232
28/10/1951;292,1130461;0,018038865
29/10/1951;293,1144423;0,006292548
30/10/1951;293,8261421;0,00819965
31/10/1951;293,738859;0,015058074
1/11/1951;293,0855146;0,038275423
2/11/1951;292,8696413;0,009645354
3/11/1951;292,7794901;0,014695834
4/11/1951;292,752707;0,014381239
5/11/1951;293,2169873;0,011659191
6/11/1951;293,4522714;0,011330165
7/11/1951;292,9922518;0,019524804
8/11/1951;293,0530944;0,01432281
9/11/1951;293,3846925;0,023245422
10/11/1951;293,5734707;0,021487606
11/11/1951;293,4461098;0,02955123
12/11/1951;293,3960734;0,022715258
13/11/1951;293,434444;0,015629098
14/11/1951;293,760927;0,021297837
15/11/1951;293,578081;0,011133269
16/11/1951;293,868675;0,005920948
17/11/1951;293,7093405;0,01272224
18/11/1951;293,3877346;0,026542031
19/11/1951;293,3492716;0,013263578
20/11/1951;293,0698351;0,016766369
21/11/1951;293,2013902;0,012997784
22/11/1951;292,737433;0,034684043
23/11/1951;293,0628352;0,01171456
24/11/1951;293,1604532;0,012318424
25/11/1951;293,0134737;0,011741837
26/11/1951;293,2098165;0,013489855
27/11/1951;293,4920003;0,007021335
28/11/1951;293,3485151;0,006329111
29/11/1951;293,1175509;0,009713525
30/11/1951;293,2150551;0,007923752
1/12/1951;293,4220645;0,009719938
2/12/1951;293,4990859;0,009595916
3/12/1951;293,3627946;0,007666669
4/12/1951;293,6422612;0,005382421
5/12/1951;293,7502036;0,008436472
6/12/1951;293,4032106;0,01247803
7/12/1951;293,3073209;0,007444979
8/12/1951;293,2830538;0,009025283
9/12/1951;293,1554715;0,008349741
10/12/1951;293,43208;0,00800687
11/12/1951;293,5509525;0,010544407
12/12/1951;293,6242222;0,009414848
13/12/1951;293,4981952;0,017731483
14/12/1951;293,2580511;0,016963389
15/12/1951;292,8669926;0,017169643
16/12/1951;293,3464751;0,017814699
17/12/1951;293,0956332;0,007195242
18/12/1951;293,5425061;0,002323181
19/12/1951;293,7472115;0,009150465
20/12/1951;293,7346692;0,001170189
21/12/1951;294,2070452;0,004665061
22/12/1951;293,5365545;0,007076988
23/12/1951;293,5722801;0,004759445
24/12/1951;293,3015419;0,009299233
25/12/1951;293,068872;0,00911012
26/12/1951;293,1546516;0,013052952
27/12/1951;292,9336814;0,008729671
28/12/1951;292,9475027;0,005663781
29/12/1951;293,4688445;0,007312856
30/12/1951;293,4434396;0,00800202
31/12/1951;293,7515789;0,008341494
1/01/1952;293,6559155;0,014110426
2/01/1952;293,2684158;0,014376023
3/01/1952;293,0423689;0,009465648
4/01/1952;292,9088033;0,002256202
