formatted_date;temperature_2m_min; temperature_2m_max
8/10/1951;290,8547269;298,5109601
9/10/1951;291,6364152;297,3232149
10/10/1951;291,4300692;298,9057801
11/10/1951;291,7877492;297,3489977
12/10/1951;291,3062491;297,1042662
13/10/1951;291,4938815;296,8473548
14/10/1951;290,7411655;297,9101397
15/10/1951;291,3023527;298,4916641
16/10/1951;291,0217225;296,738831
17/10/1951;291,0014105;296,8563618
18/10/1951;290,8920587;297,0824784
19/10/1951;291,0396687;296,3350941
20/10/1951;290,9109336;296,7435296
21/10/1951;291,2019713;297,2994705
22/10/1951;291,0836196;296,5441063
23/10/1951;290,4836029;296,94248
24/10/1951;290,8809514;296,1397592
25/10/1951;290,5262057;296,160785
26/10/1951;290,7059686;295,1181111
27/10/1951;290,3632611;295,1320053
28/10/1951;290,2179494;295,5177758
29/10/1951;289,9979793;297,461727
30/10/1951;289,9485099;299,0073754
31/10/1951;290,6164088;298,2216953
1/11/1951;290,9819497;296,764202
2/11/1951;290,2254093;296,824222
3/11/1951;290,6892068;296,3311872
4/11/1951;290,6680027;296,0657842
5/11/1951;290,7204659;297,1592671
6/11/1951;290,7915853;297,5677998
7/11/1951;291,1730927;296,1841094
8/11/1951;290,7956237;296,5809115
9/11/1951;291,2938824;297,1856265
10/11/1951;291,2468052;297,5636239
11/11/1951;291,5725061;296,2931858
12/11/1951;291,3057772;297,1843888
13/11/1951;290,9919819;297,4449339
14/11/1951;291,4080579;297,9714303
15/11/1951;290,5360882;298,0766584
16/11/1951;290,9987404;298,2534359
17/11/1951;291,4069523;297,3374101
18/11/1951;291,6010011;296,873896
19/11/1951;290,7197637;297,6723305
20/11/1951;291,2451086;296,3801458
21/11/1951;291,1829893;297,0188475
22/11/1951;291,3563;294,9446502
23/11/1951;290,6382285;296,9138505
24/11/1951;291,0225546;296,9023551
25/11/1951;290,6422992;296,8588109
26/11/1951;290,4815792;296,9780187
27/11/1951;290,4790156;297,9538004
28/11/1951;290,6693518;296,9090181
29/11/1951;290,8735807;296,5309863
30/11/1951;290,4096108;297,1165319
1/12/1951;290,994999;296,7790479
2/12/1951;290,9902332;297,2950867
3/12/1951;290,6420677;297,320167
4/12/1951;290,8870627;297,7671468
5/12/1951;291,3940387;297,7174847
6/12/1951;290,8942386;297,1716156
7/12/1951;290,6129875;297,4243352
8/12/1951;290,8215213;297,0574601
9/12/1951;290,6430023;296,8858764
10/12/1951;290,2572178;297,7217819
11/12/1951;290,8266618;297,4572453
12/12/1951;291,1198298;297,6631724
13/12/1951;291,3632045;297,5954774
14/12/1951;291,0047377;297,1570385
15/12/1951;290,877343;295,9336372
